id,name,type,frosting,liters refrigerator,liters frezzer,efficiency,Kwh/month,url,price,diff price,19/11/21,20/11/21,22/11/21,23/11/21,24/11/21,25/11/21,26/11/21
90956,Teka RBF-78720 GBK,bottom freezer,No Frost,330,128,A+,31.92,https://www.solotodo.cl/products/90956-teka-rbf-78720-gbk,869990,,,,869990.0,,,,
90843,Teka RBF-78720 SS,bottom freezer,No Frost,330,128,A+,31.92,https://www.solotodo.cl/products/90843-teka-rbf-78720-ss,799990,0.0,799990.0,799990.0,799990.0,799990.0,,,799990.0
124533,Samsung RT48A6640S9,top freezer,No Frost,346,111,A+,28.6,https://www.solotodo.cl/products/124533-samsung-rt48a6640s9,699990,,,,,,699990.0,699990.0,
79605,Whirlpool WRM57AKDWC,top freezer,No Frost,396,104,A+,30.53,https://www.solotodo.cl/products/79605-whirlpool-wrm57akdwc,699900,0.0,699900.0,699900.0,699900.0,699900.0,699900.0,699900.0,699900.0
91766,Bosch KGN56LBF0N,bottom freezer,No Frost,400,105,A++,24,https://www.solotodo.cl/products/91766-bosch-kgn56lbf0n,689990,0.0,689990.0,689990.0,689990.0,689990.0,689990.0,689990.0,689990.0
124534,Samsung RT44A6540S9,top freezer,No Frost,308,111,A+,27.12,https://www.solotodo.cl/products/124534-samsung-rt44a6540s9,639990,,,,,,639990.0,639990.0,
119742,Samsung RT48A6640B1,top freezer,No Frost,346,111,A+,Desconocido,https://www.solotodo.cl/products/119742-samsung-rt48a6640b1,626657,46666.33333333337,719990.0,719990.0,,579991.0,579991.0,579991.0,579991.0
117632,Bosch KGN56XIDP,bottom freezer,No Frost,400,108,A++,17.5,https://www.solotodo.cl/products/117632-bosch-kgn56xidp,619990,0.0,619990.0,619990.0,619990.0,619990.0,619990.0,619990.0,619990.0
36709,Samsung RL4363SBABS/ZS,bottom freezer,No Frost,300,132,A+,25,https://www.solotodo.cl/products/36709-samsung-rl4363sbabszs,607132,257142.85714285716,649990.0,649990.0,649990.0,649990.0,649990.0,649990.0,349990.0
67376,Sindelen RDNF-4000IN,top freezer,No Frost,295,104,A+,25.3,https://www.solotodo.cl/products/67376-sindelen-rdnf-4000in,569990,0.0,569990.0,569990.0,569990.0,569990.0,569990.0,569990.0,569990.0
39026,Winia RGE-X49DF,top freezer,No Frost,353,115,A,30.9,https://www.solotodo.cl/products/39026-winia-rge-x49df,569990,0.0,569990.0,569990.0,569990.0,569990.0,569990.0,569990.0,569990.0
61988,LG LT44AGP,top freezer,No Frost,328,117,A+,30,https://www.solotodo.cl/products/61988-lg-lt44agp,559990,0.0,559990.0,559990.0,559990.0,559990.0,559990.0,559990.0,559990.0
102401,Samsung RB38T636DB1/ZS,bottom freezer,No Frost,264,112,A++,20.1,https://www.solotodo.cl/products/102401-samsung-rb38t636db1zs,552847,2857.1428571428405,549990.0,549990.0,549990.0,569990.0,549990.0,549990.0,549990.0
36565,Samsung RT46K6631BS,top freezer,No Frost,341,111,A+,26.3,https://www.solotodo.cl/products/36565-samsung-rt46k6631bs,539990,0.0,539990.0,539990.0,539990.0,539990.0,539990.0,539990.0,539990.0
76560,Samsung RL4003SBAS8,bottom freezer,No Frost,300,102,A+,23.5,https://www.solotodo.cl/products/76560-samsung-rl4003sbas8,514275,14285.71428571426,519990.0,519990.0,519990.0,519990.0,519990.0,499990.0,499990.0
37556,LG LT44SGP,top freezer,No Frost,321,117,A+,23.85,https://www.solotodo.cl/products/37556-lg-lt44sgp,514275,14285.71428571426,549990.0,549990.0,499990.0,499990.0,499990.0,499990.0,499990.0
24860,Samsung RT46K6631SL,top freezer,No Frost,341,111,A+,26.3,https://www.solotodo.cl/products/24860-samsung-rt46k6631sl,503650,0.0,503650.0,503650.0,503650.0,503650.0,503650.0,503650.0,503650.0
26311,Samsung RT43K6231SL/ZS,top freezer,No Frost,329,111,A+,23.9,https://www.solotodo.cl/products/26311-samsung-rt43k6231slzs,499990,0.0,499990.0,499990.0,499990.0,499990.0,499990.0,499990.0,499990.0
101721,Samsung RB36T602FB1/ZS,bottom freezer,No Frost,262,98,A+,Desconocido,https://www.solotodo.cl/products/101721-samsung-rb36t602fb1zs,493561,8571.42857142858,494990.0,494990.0,494990.0,494990.0,494990.0,494990.0,484990.0
124396,Mabe RMP410FZUC,top freezer,No Frost,287,103,A+,27,https://www.solotodo.cl/products/124396-mabe-rmp410fzuc,469990,0.0,469990.0,469990.0,469990.0,469990.0,469990.0,469990.0,469990.0
63228,Fensa Advantage 5700E,top freezer,No Frost,329,102,A+,29.59,https://www.solotodo.cl/products/63228-fensa-advantage-5700e,468561,8571.42857142858,469990.0,469990.0,469990.0,469990.0,469990.0,469990.0,459990.0
84690,Hisense RD-60WRD,top freezer,No Frost,366,100,A++,22.6,https://www.solotodo.cl/products/84690-hisense-rd-60wrd,461418,11428.57142857142,469990.0,469990.0,469990.0,469990.0,449990.0,449990.0,449990.0
124400,Fensa DW44S + Hervidor Black360 HE420,top freezer,No Frost,288,112,A,33.8,https://www.solotodo.cl/products/124400-fensa-dw44s-hervidor-black360-he420,439990,0.0,439990.0,439990.0,439990.0,439990.0,439990.0,439990.0,439990.0
52580,Mademsa Altus 1430W,top freezer,No Frost,330,95,A+,29.1,https://www.solotodo.cl/products/52580-mademsa-altus-1430w,429990,0.0,429990.0,429990.0,429990.0,429990.0,429990.0,429990.0,429990.0
51312,Mademsa Altus 1430,top freezer,No Frost,330,95,A+,29.1,https://www.solotodo.cl/products/51312-mademsa-altus-1430,429990,0.0,429990.0,429990.0,429990.0,429990.0,429990.0,429990.0,429990.0
41502,Winia RGE-X41DF,top freezer,No Frost,287,103,A+,27.86,https://www.solotodo.cl/products/41502-winia-rge-x41df,419990,0.0,419990.0,419990.0,419990.0,419990.0,419990.0,419990.0,419990.0
69192,Fensa DW44S,top freezer,No Frost,288,112,A,33.8,https://www.solotodo.cl/products/69192-fensa-dw44s,418561,8571.42857142858,419990.0,419990.0,419990.0,419990.0,419990.0,419990.0,409990.0
24574,Samsung RT35K5730SL,top freezer,No Frost,272,89,A+,23.42,https://www.solotodo.cl/products/24574-samsung-rt35k5730sl,410027,20037.14285714284,417090.0,417090.0,417090.0,417090.0,417090.0,394750.0,389990.0
91043,Oster OS-BNF21300BD,top freezer,No Frost,260,79,A+,25.8,https://www.solotodo.cl/products/91043-oster-os-bnf21300bd,399990,0.0,399990.0,399990.0,399990.0,399990.0,399990.0,399990.0,399990.0
79674,Whirlpool WRM45AKDWC,top freezer,No Frost,289,86,A,31.5,https://www.solotodo.cl/products/79674-whirlpool-wrm45akdwc,399900,0.0,399900.0,399900.0,399900.0,399900.0,399900.0,399900.0,399900.0
79672,Whirlpool WRM45ABDWC,top freezer,No Frost,289,86,A,31.5,https://www.solotodo.cl/products/79672-whirlpool-wrm45abdwc,399900,0.0,399900.0,399900.0,399900.0,399900.0,399900.0,399900.0,399900.0
84691,Hisense RD-49WRD,top freezer,No Frost,286,89,A+,25.64,https://www.solotodo.cl/products/84691-hisense-rd-49wrd,389990,0.0,389990.0,389990.0,389990.0,389990.0,389990.0,389990.0,389990.0
51597,Mabe RMP400FZUC,top freezer,No Frost,287,103,A+,27,https://www.solotodo.cl/products/51597-mabe-rmp400fzuc,389990,0.0,389990.0,389990.0,389990.0,389990.0,389990.0,389990.0,389990.0
78584,Samsung RT38K50AJS8/ZS,top freezer,No Frost,298,87,A+,23.84,https://www.solotodo.cl/products/78584-samsung-rt38k50ajs8zs,379990,0.0,379990.0,379990.0,379990.0,379990.0,379990.0,379990.0,379990.0
65344,Maigas HD-520FW,top freezer,No Frost,281,90,A+,25.17,https://www.solotodo.cl/products/65344-maigas-hd-520fw,379000,0.0,379000.0,379000.0,379000.0,379000.0,379000.0,379000.0,379000.0
124398,Mabe RMP400FHUG1,top freezer,No Frost,287,103,A+,27,https://www.solotodo.cl/products/124398-mabe-rmp400fhug1,369990,0.0,369990.0,369990.0,369990.0,369990.0,369990.0,369990.0,369990.0
65346,Maigas HD-463FWEN,top freezer,No Frost,255,85,A+,25.47,https://www.solotodo.cl/products/65346-maigas-hd-463fwen,349990,0.0,349990.0,349990.0,349990.0,349990.0,349990.0,349990.0,349990.0
66395,Mabe RMP400FHUG,top freezer,No Frost,287,103,A+,27,https://www.solotodo.cl/products/66395-mabe-rmp400fhug,339990,0.0,339990.0,339990.0,339990.0,339990.0,,,339990.0
69169,Midea MRFS-3560S463FW,top freezer,No Frost,253,84,A+,25.5,https://www.solotodo.cl/products/69169-midea-mrfs-3560s463fw,297132,17142.85714285716,299990.0,299990.0,299990.0,299990.0,299990.0,299990.0,279990.0
